seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
173386297,10,10,[12  8 15 14 20 14 12 12 12 13 12 21  8 13 15 14],500.465,"[[13  9 18 14 20 14 12 12  8 12 13 19  9 13 15 14]
 [12  8 15 14 20 14 12 12 12 13 12 21  8 13 15 14]
 [11 10 14 14 16 14 13 17  8 15 12 18  8 13 15 17]
 [10 10 16 14 19 14 13 10 12 13 14 18  8 13 15 16]
 [12  8 14 14 16 14 12  9 12 13 15 22  8 13 15 18]]",[504.06  500.465 518.091 506.416 508.419]
78746995,10,10,[12  9 15 14 20 13 12 10 12 14 14 19  8 13 15 15],505.573,"[[11  9 15 14 19 13 12 13  8 12 14 19  8 13 15 20]
 [12  9 15 14 20 13 12 10 12 14 14 19  8 13 15 15]
 [10  9 20 15 16 19 12 11  8 11 15 19  8 13 15 14]
 [10  7 15 15 17 14 12  9 12 13 15 20  8 13 15 19]
 [14  8 18 15 16 16 12  9  8 12 15 21  8 13 15 15]]",[515.325 505.573 519.069 511.617 514.815]
95206404,10,10,[11  9 18 14 19 14 13 10 12 13 13 19  8 13 15 14],505.119,"[[10 10 18 14 17 14 16 12 12 12 12 18  8 13 15 14]
 [12  8 16 14 19 14 12 11 12 13 13 21  8 13 15 14]
 [14  9 15 14 20 14 12 10  8 12 14 19  8 13 15 18]
 [10  9 15 14 19 15 13 10 12 15 14 19  8 13 15 14]
 [11  9 18 14 19 14 13 10 12 13 13 19  8 13 15 14]]",[507.804 505.914 508.475 506.605 505.119]
56428042,10,12,[10  8 21 15 19 13 12 10 12 11 14 20  8 13 15 14],504.062,"[[13  9 16 14 16 14 13 11  8 17 13 19 10 13 15 14]
 [12  8 16 14 16 14 12 12 12 16 12 21  8 13 15 14]
 [11  7 15 14 19 14 12  9 12 17 14 21  8 13 15 14]
 [10  8 21 15 19 13 12 10 12 11 14 20  8 13 15 14]
 [ 9  8 18 15 15 14 15 12  8 13 15 22  8 13 15 15]]",[514.042 508.849 507.028 504.062 516.216]
27886648,10,12,[16  9 15 15 20 14 12 12  8 12 12 19  8 13 15 15],502.553,"[[17  8 15 14 19 14 12  9 12 13 11 21  8 13 15 14]
 [10  8 20 15 20 14 12 10 12 11 13 20  8 13 15 14]
 [10 10 17 14 16 14 13 10 12 15 16 18  8 13 15 14]
 [16  9 15 15 20 14 12 12  8 12 12 19  8 13 15 15]
 [11 10 13 14 16 14 12  9 12 15 15 18  8 13 15 20]]",[504.015 504.483 506.909 502.553 512.015]
173386297,10,12,[12  8 19 14 17 14 12  9 12 13 14 21  8 13 15 14],503.442,"[[10 10 15 14 16 14 12 10 13 17 16 18  8 13 15 14]
 [12  8 19 14 17 14 12  9 12 13 14 21  8 13 15 14]
 [12  9 15 14 14 14 12 10  8 15 16 19 15 13 15 14]
 [11 11 16 14 17 14 12  9 12 12 15 22  8 13 15 14]
 [10  8 17 15 16 17 13 10  8 13 16 22  8 13 15 14]]",[509.727 503.442 522.99  508.737 515.78 ]
78746995,10,12,[12  8 17 14 16 14 12  9 12 14 15 21  8 13 15 15],505.818,"[[12 10 19 14 16 14 12  9 12 12 16 18  8 13 15 15]
 [12  9 15 14 19 14 13  9 12 12 14 21  8 13 15 15]
 [19  8 15 14 15 14 14 10  8 12 12 24  8 13 15 14]
 [12  8 17 14 16 14 12  9 12 14 15 21  8 13 15 15]
 [16  8 14 14 20 14 13  9  8 12 14 21  9 13 15 15]]",[507.259 507.28  511.624 505.818 509.348]
95206404,10,12,[11  9 19 14 18 14 14  9 12 12 14 19  8 13 15 14],502.862,"[[11  8 20 14 16 14 14  9  8 12 16 23  8 13 15 14]
 [13  8 17 14 20 14 11 12  8 12 13 23  8 13 15 14]
 [11  9 19 14 18 14 14  9 12 12 14 19  8 13 15 14]
 [11 10 16 15 18 16 14  9 12 12 14 18  8 13 15 14]
 [12 10 16 14 18 16 13  9 12 13 14 18  8 13 15 14]]",[507.205 506.283 502.862 506.77  506.503]
56428042,10,14,[12  8 20 14 17 14 12 11  8 12 13 23  8 13 15 15],505.987,"[[12  8 20 14 17 14 12 11  8 12 13 23  8 13 15 15]
 [ 8  9 21 14 16 14 13 12  8 13 16 19  8 13 15 16]
 [12  9 15 14 16 14 14 11 12 12 13 19 11 13 15 15]
 [12  9 16 16 20 14 14 11  8 12 14 19  8 13 15 14]
 [ 9  9 18 15 16 14 16 12  8 13 14 19  9 13 15 15]]",[505.987 514.993 511.586 507.749 518.096]
27886648,10,14,[15  9 13 14 20 14 12 12  8 13 12 19  9 13 15 17],505.845,"[[17  7 19 14 18 14 11 10 12 12 11 20  8 13 15 14]
 [11  9 16 14 18 15 14  9 12 12 14 19  9 13 15 15]
 [13 10 16 14 15 14 13  9 12 13 15 18  8 13 15 17]
 [15  9 13 14 20 14 12 12  8 13 12 19  9 13 15 17]
 [13  9 15 14 20 14 12 11  8 13 13 19  8 13 15 18]]",[508.831 506.983 509.379 505.845 506.921]
173386297,10,14,[13  8 14 14 20 14 12 12 12 13 11 22  8 13 15 14],500.193,"[[12  9 14 12 20 14 12 13  8 20 12 19  8 13 15 14]
 [13  8 14 14 20 14 12 12 12 13 11 22  8 13 15 14]
 [12 10 16 14 16 14 12 10 12 12 14 18 13 13 15 14]
 [13 10 14 14 20 14 12 12 12 13 12 18  8 13 15 15]
 [10 10 15 14 19 14 13 11 12 12 13 18 12 13 15 14]]",[509.427 500.193 512.039 501.52  511.133]
78746995,10,14,[11  8 17 14 19 14 12  9 12 13 14 22  8 13 15 14],503.326,"[[14  9 16 14 20 14 12 14  8 12 12 19  8 13 15 15]
 [11  8 17 14 19 14 12  9 12 13 14 22  8 13 15 14]
 [16  9 16 14 18 14 12 11 12 12 12 19  8 13 15 14]
 [12 10 18 14 16 14 13  9 12 14 15 18  8 13 15 14]
 [13  8 19 14 16 14 12  9 12 13 14 21  8 13 15 14]]",[503.986 503.326 503.645 504.39  504.884]
95206404,10,14,[12  9 13 14 20 16 12 12 12 14 12 19  8 13 15 14],502.875,"[[10 12 17 14 16 16 14 10  8 12 16 18  8 13 15 16]
 [12  9 18 14 17 14 12 10 12 14 14 19  8 13 15 14]
 [12  8 18 16 16 14 12  9 12 11 15 22  8 13 15 14]
 [12  9 13 14 20 16 12 12 12 14 12 19  8 13 15 14]
 [12  9 17 14 17 15 13 11 12 13 13 19  8 13 15 14]]",[517.248 505.485 505.067 502.875 507.359]
56428042,10,16,[11  8 20 15 19 14 12  9 12 11 14 20  8 13 15 14],503.152,"[[14  9 17 14 14 14 13 17  8 13 12 19  8 13 15 15]
 [10  8 17 14 15 14 12 11  8 15 15 24  8 13 15 16]
 [11 10 15 14 16 14 13  9 12 15 16 18 10 13 15 14]
 [11  8 20 15 19 14 12  9 12 11 14 20  8 13 15 14]
 [10 10 19 12 14 15 15 12  8 16 15 18  8 13 15 15]]",[518.428 512.629 508.816 503.152 521.715]
